file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; 120sdatabs ; 0:00.84  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; 120sdatabsacker ; 0:00.88  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; dataabs2 ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; dataabs2acker ; 0:00.07  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; dataabs2c2 ; 0:00.12  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; dataabs2c2acker ; 0:00.21  ; 120sz3 ; unsat      ; 0:00.24 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.01  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjava ; 0:00.00  ; 120sdatabs ; 0:01.30  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:01.24  ; 120sz3 ; unsat      ; 0:00.07 
